year,gross_value_added,labor,capital,factors,ptf
2005,4.700971511879895,3.471334048148997,1.549620106287544,5.0209541544365415,-0.3199826425566472
2006,5.997796832210598,-0.4703115070835877,2.237337179076929,1.7670256719933413,4.230771160217258
2007,6.123723715834383,6.004300720958763,2.801600774611273,8.805901495570035,-2.682177779735652
2008,3.108944787618228,2.092131742368767,2.670913951553199,4.763045693921966,-1.654100906303738
2009,1.316519352323268,0.3362722285178719,2.032079730134178,2.36835195865205,-1.051832606328781
2010,4.251740603481142,3.762094969734255,2.192407430007294,5.954502399741549,-1.702761796260407
2011,6.487781837889696,3.001931754883321,3.021249438718157,6.023181193601478,0.4646006442882184
2012,3.786287385637683,1.195842275249589,3.041367330419819,4.237209605669408,-0.4509222200317248
2013,5.185177952081458,1.866784688805891,2.858223636555204,4.725008325361095,0.4601696267203639
2014,4.359624929680058,3.006844215739055,2.767127565302832,5.773971781041887,-1.41434685136183
2015,3.075166148242378,0.4800165147836954,1.822871445853548,2.302887960637243,0.7722781876051343
2016,2.195318186439531,1.774041005522302,1.581365448962117,3.355406454484419,-1.160088268044888
2017,1.347892270065693,-0.3278722412446278,1.481954365020892,1.1540821237762642,0.1938101462894286
2018,2.464298442475477,1.042508114706216,1.186676561440576,2.229184676146792,0.2351137663286853
2019,3.021654338725109,1.4493368153947,1.342865800109361,2.7922026155040607,0.2294517232210479
2020,-7.529534545817738,-6.480545177807739,0.4539249450152346,-6.026620232792505,-1.502914313025233
2021,9.705318307300418,7.412163640979553,0.9954232489926129,8.407586889972166,1.29773141732825
2022,6.077060680150988,4.398920059048343,1.545597969425952,5.9445180284742944,0.1325426516766949
2023,1.179188364720833,1.461197345960264,0.641411790087958,2.102609136048222,-0.9234207713273888
2024,1.630410050068724,-0.22204591126918471,0.6464578209732394,0.42441190970405474,1.205998140364669
2025,2.656031540781504,1.1136253035291168,0.788736829140926,1.9023621326700428,0.7536694081114617
